# freq, re(lna), im(lna), re(amb), im(amb), re(hot), im(hot), re(open), im(open), re(short), im(short), re(sr_s11), im(sr_s11_, re(sr_s12), im(sr_s12), re(sr_s22_, im(sr_s22)
43.078613 -4.239014e-03 2.352794e-02 -7.202612e-02 -7.222098e-02 -2.917479e-02 -1.531185e-02 -6.827938e-01 7.629302e-01 4.222239e-01 -6.795600e-01 3.513755e-01 -4.192100e-02 6.840822e-01 -2.977942e-01 -2.090881e-01 3.917628e-01
43.127441 -4.227215e-03 2.353295e-02 -6.989713e-02 -7.025672e-02 -2.800226e-02 -1.504492e-02 -6.678270e-01 7.732078e-01 4.154306e-01 -6.880275e-01 3.419494e-01 -4.024715e-02 6.914831e-01 -2.958920e-01 -2.044553e-01 3.811671e-01
43.176270 -4.215114e-03 2.353768e-02 -6.779950e-02 -6.832517e-02 -2.685076e-02 -1.477907e-02 -6.527376e-01 7.832356e-01 4.083900e-01 -6.964532e-01 3.326761e-01 -3.861411e-02 6.987752e-01 -2.940240e-01 -1.998614e-01 3.707445e-01
43.225098 -4.202712e-03 2.354212e-02 -6.573361e-02 -6.642655e-02 -2.572036e-02 -1.451443e-02 -6.375290e-01 7.930128e-01 4.011009e-01 -7.048294e-01 3.235566e-01 -3.702174e-02 7.059571e-01 -2.921903e-01 -1.953083e-01 3.604962e-01
43.273926 -4.190012e-03 2.354627e-02 -6.369963e-02 -6.456093e-02 -2.461107e-02 -1.425109e-02 -6.222037e-01 8.025390e-01 3.935620e-01 -7.131486e-01 3.145914e-01 -3.546975e-02 7.130280e-01 -2.903911e-01 -1.907973e-01 3.504228e-01
43.322754 -4.177016e-03 2.355015e-02 -6.169780e-02 -6.272840e-02 -2.352290e-02 -1.398916e-02 -6.067644e-01 8.118136e-01 3.857722e-01 -7.214032e-01 3.057810e-01 -3.395787e-02 7.199872e-01 -2.886262e-01 -1.863300e-01 3.405248e-01
43.371582 -4.163724e-03 2.355373e-02 -5.972830e-02 -6.092903e-02 -2.245584e-02 -1.372873e-02 -5.912138e-01 8.208359e-01 3.777312e-01 -7.295856e-01 2.971258e-01 -3.248582e-02 7.268340e-01 -2.868959e-01 -1.819077e-01 3.308026e-01
43.420410 -4.150141e-03 2.355704e-02 -5.779129e-02 -5.916286e-02 -2.140987e-02 -1.346991e-02 -5.755545e-01 8.296053e-01 3.694384e-01 -7.376880e-01 2.886261e-01 -3.105328e-02 7.335676e-01 -2.852000e-01 -1.775318e-01 3.212566e-01
43.469238 -4.136267e-03 2.356006e-02 -5.588692e-02 -5.742990e-02 -2.038496e-02 -1.321279e-02 -5.597892e-01 8.381210e-01 3.608939e-01 -7.457027e-01 2.802822e-01 -2.965989e-02 7.401877e-01 -2.835385e-01 -1.732036e-01 3.118869e-01
43.518066 -4.122106e-03 2.356280e-02 -5.401530e-02 -5.573016e-02 -1.938107e-02 -1.295747e-02 -5.439207e-01 8.463822e-01 3.520979e-01 -7.536219e-01 2.720939e-01 -2.830532e-02 7.466936e-01 -2.819114e-01 -1.689242e-01 3.026937e-01
43.566895 -4.107658e-03 2.356525e-02 -5.217649e-02 -5.406357e-02 -1.839810e-02 -1.270402e-02 -5.279511e-01 8.543882e-01 3.430508e-01 -7.614378e-01 2.640613e-01 -2.698913e-02 7.530853e-01 -2.803186e-01 -1.646948e-01 2.936765e-01
43.615723 -4.092926e-03 2.356743e-02 -5.037064e-02 -5.243015e-02 -1.743602e-02 -1.245254e-02 -5.118839e-01 8.621377e-01 3.337538e-01 -7.691424e-01 2.561844e-01 -2.571100e-02 7.593621e-01 -2.787601e-01 -1.605166e-01 2.848358e-01
43.664551 -4.077914e-03 2.356933e-02 -4.859774e-02 -5.082980e-02 -1.649473e-02 -1.220311e-02 -4.957214e-01 8.696300e-01 3.242078e-01 -7.767280e-01 2.484628e-01 -2.447047e-02 7.655239e-01 -2.772358e-01 -1.563907e-01 2.761709e-01
43.713379 -4.062622e-03 2.357094e-02 -4.685783e-02 -4.926243e-02 -1.557413e-02 -1.195582e-02 -4.794663e-01 8.768641e-01 3.144143e-01 -7.841867e-01 2.408963e-01 -2.326709e-02 7.715707e-01 -2.757455e-01 -1.523179e-01 2.676814e-01
43.762207 -4.047053e-03 2.357228e-02 -4.515091e-02 -4.772792e-02 -1.467410e-02 -1.171074e-02 -4.631213e-01 8.838389e-01 3.043749e-01 -7.915108e-01 2.334843e-01 -2.210042e-02 7.775023e-01 -2.742892e-01 -1.482993e-01 2.593669e-01
43.811035 -4.031211e-03 2.357334e-02 -4.347695e-02 -4.622614e-02 -1.379452e-02 -1.146795e-02 -4.466891e-01 8.905534e-01 2.940917e-01 -7.986925e-01 2.262264e-01 -2.096999e-02 7.833188e-01 -2.728667e-01 -1.443357e-01 2.512268e-01
43.859863 -4.015096e-03 2.357412e-02 -4.183591e-02 -4.475694e-02 -1.293526e-02 -1.122751e-02 -4.301725e-01 8.970064e-01 2.835668e-01 -8.057241e-01 2.191219e-01 -1.987529e-02 7.890203e-01 -2.714779e-01 -1.404279e-01 2.432602e-01
